<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RIZ8 [SPBFUT],5,20180823,193000,105812.904410
RIZ8 [SPBFUT],5,20180823,193500,105804.660106
RIZ8 [SPBFUT],5,20180823,194000,105795.769513
RIZ8 [SPBFUT],5,20180823,194500,105787.818766
RIZ8 [SPBFUT],5,20180823,195000,105779.930870
RIZ8 [SPBFUT],5,20180823,195500,105770.366199
RIZ8 [SPBFUT],5,20180823,200000,105759.533265
RIZ8 [SPBFUT],5,20180823,200500,105749.260275
RIZ8 [SPBFUT],5,20180823,201000,105738.515134
RIZ8 [SPBFUT],5,20180823,201500,105729.040706
RIZ8 [SPBFUT],5,20180823,202000,105719.324969
RIZ8 [SPBFUT],5,20180823,202500,105710.713705
RIZ8 [SPBFUT],5,20180823,203000,105703.198181
RIZ8 [SPBFUT],5,20180823,203500,105696.769737
RIZ8 [SPBFUT],5,20180823,204000,105689.996854
RIZ8 [SPBFUT],5,20180823,204500,105682.882254
RIZ8 [SPBFUT],5,20180823,205000,105675.507691
RIZ8 [SPBFUT],5,20180823,205500,105668.507630
RIZ8 [SPBFUT],5,20180823,210000,105661.404803
RIZ8 [SPBFUT],5,20180823,210500,105654.753382
RIZ8 [SPBFUT],5,20180823,211000,105647.205924
RIZ8 [SPBFUT],5,20180823,211500,105639.401925
RIZ8 [SPBFUT],5,20180823,212000,105631.106257
RIZ8 [SPBFUT],5,20180823,212500,105623.192374
RIZ8 [SPBFUT],5,20180823,213000,105615.420102
RIZ8 [SPBFUT],5,20180823,213500,105607.314014
RIZ8 [SPBFUT],5,20180823,214000,105599.983469
RIZ8 [SPBFUT],5,20180823,214500,105591.208896
RIZ8 [SPBFUT],5,20180823,215000,105582.661790
RIZ8 [SPBFUT],5,20180823,215500,105574.735610
RIZ8 [SPBFUT],5,20180823,220000,105567.188293
RIZ8 [SPBFUT],5,20180823,220500,105560.016844
RIZ8 [SPBFUT],5,20180823,221000,105553.613549
RIZ8 [SPBFUT],5,20180823,221500,105547.260872
RIZ8 [SPBFUT],5,20180823,222000,105540.800312
RIZ8 [SPBFUT],5,20180823,222500,105534.311772
RIZ8 [SPBFUT],5,20180823,223000,105527.479268
RIZ8 [SPBFUT],5,20180823,223500,105519.673108
RIZ8 [SPBFUT],5,20180823,224000,105512.165811
RIZ8 [SPBFUT],5,20180823,224500,105504.638808
RIZ8 [SPBFUT],5,20180823,225000,105497.013205
RIZ8 [SPBFUT],5,20180823,225500,105488.973575
RIZ8 [SPBFUT],5,20180823,230000,105481.076550
RIZ8 [SPBFUT],5,20180823,230500,105473.558159
