<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],5,20180822,205000,105580.000000,105640.000000,105530.000000,105560.000000,751.000000
RIZ8 [SPBFUT],5,20180822,205500,105580.000000,105730.000000,105570.000000,105720.000000,886.000000
RIZ8 [SPBFUT],5,20180822,210000,105720.000000,106140.000000,105630.000000,106050.000000,4656.000000
RIZ8 [SPBFUT],5,20180822,210500,106040.000000,106130.000000,105990.000000,106000.000000,1843.000000
RIZ8 [SPBFUT],5,20180822,211000,106000.000000,106080.000000,105950.000000,106050.000000,1498.000000
RIZ8 [SPBFUT],5,20180822,211500,106050.000000,106110.000000,105850.000000,105870.000000,1421.000000
RIZ8 [SPBFUT],5,20180822,212000,105870.000000,105930.000000,105760.000000,105820.000000,1221.000000
RIZ8 [SPBFUT],5,20180822,212500,105820.000000,105950.000000,105800.000000,105850.000000,1397.000000
RIZ8 [SPBFUT],5,20180822,213000,105850.000000,105910.000000,105840.000000,105850.000000,321.000000
RIZ8 [SPBFUT],5,20180822,213500,105850.000000,105880.000000,105770.000000,105790.000000,663.000000
RIZ8 [SPBFUT],5,20180822,214000,105800.000000,105870.000000,105770.000000,105870.000000,673.000000
RIZ8 [SPBFUT],5,20180822,214500,105870.000000,105920.000000,105780.000000,105790.000000,466.000000
RIZ8 [SPBFUT],5,20180822,215000,105790.000000,105890.000000,105780.000000,105840.000000,346.000000
RIZ8 [SPBFUT],5,20180822,215500,105840.000000,106100.000000,105820.000000,106030.000000,1151.000000
RIZ8 [SPBFUT],5,20180822,220000,106040.000000,106400.000000,106020.000000,106190.000000,4596.000000
RIZ8 [SPBFUT],5,20180822,220500,106180.000000,106250.000000,106140.000000,106200.000000,1265.000000
RIZ8 [SPBFUT],5,20180822,221000,106210.000000,106400.000000,106190.000000,106270.000000,1526.000000
RIZ8 [SPBFUT],5,20180822,221500,106270.000000,106420.000000,106270.000000,106370.000000,1277.000000
RIZ8 [SPBFUT],5,20180822,222000,106370.000000,106390.000000,106290.000000,106350.000000,763.000000
RIZ8 [SPBFUT],5,20180822,222500,106350.000000,106520.000000,106330.000000,106430.000000,1987.000000
RIZ8 [SPBFUT],5,20180822,223000,106430.000000,106490.000000,106430.000000,106480.000000,894.000000
RIZ8 [SPBFUT],5,20180822,223500,106480.000000,106520.000000,106320.000000,106350.000000,1687.000000
RIZ8 [SPBFUT],5,20180822,224000,106340.000000,106410.000000,106320.000000,106380.000000,817.000000
RIZ8 [SPBFUT],5,20180822,224500,106390.000000,106420.000000,106340.000000,106350.000000,472.000000
RIZ8 [SPBFUT],5,20180822,225000,106340.000000,106350.000000,106270.000000,106320.000000,629.000000
RIZ8 [SPBFUT],5,20180822,225500,106330.000000,106380.000000,106280.000000,106320.000000,623.000000
RIZ8 [SPBFUT],5,20180822,230000,106320.000000,106390.000000,106250.000000,106280.000000,689.000000
RIZ8 [SPBFUT],5,20180822,230500,106260.000000,106280.000000,106180.000000,106200.000000,415.000000
RIZ8 [SPBFUT],5,20180822,231000,106190.000000,106260.000000,106180.000000,106210.000000,466.000000
RIZ8 [SPBFUT],5,20180822,231500,106220.000000,106360.000000,106190.000000,106330.000000,668.000000
RIZ8 [SPBFUT],5,20180822,232000,106330.000000,106410.000000,106270.000000,106390.000000,932.000000
RIZ8 [SPBFUT],5,20180822,232500,106380.000000,106400.000000,106300.000000,106330.000000,433.000000
RIZ8 [SPBFUT],5,20180822,233000,106350.000000,106450.000000,106330.000000,106400.000000,655.000000
RIZ8 [SPBFUT],5,20180822,233500,106390.000000,106400.000000,106320.000000,106340.000000,210.000000
RIZ8 [SPBFUT],5,20180822,234000,106330.000000,106370.000000,106240.000000,106250.000000,693.000000
RIZ8 [SPBFUT],5,20180822,234500,106240.000000,106390.000000,106160.000000,106180.000000,1131.000000
RIZ8 [SPBFUT],5,20180823,100000,106160.000000,106460.000000,105550.000000,105780.000000,9405.000000
RIZ8 [SPBFUT],5,20180823,100500,105780.000000,105900.000000,105300.000000,105340.000000,6511.000000
RIZ8 [SPBFUT],5,20180823,101000,105360.000000,105440.000000,105010.000000,105370.000000,11960.000000
RIZ8 [SPBFUT],5,20180823,101500,105370.000000,105460.000000,105160.000000,105240.000000,6469.000000
RIZ8 [SPBFUT],5,20180823,102000,105240.000000,105690.000000,105230.000000,105600.000000,6369.000000
RIZ8 [SPBFUT],5,20180823,102500,105610.000000,105640.000000,105430.000000,105610.000000,4618.000000
RIZ8 [SPBFUT],5,20180823,103000,105610.000000,105660.000000,105460.000000,105510.000000,2640.000000
RIZ8 [SPBFUT],5,20180823,103500,105520.000000,105620.000000,105390.000000,105410.000000,2349.000000
RIZ8 [SPBFUT],5,20180823,104000,105420.000000,105600.000000,105370.000000,105570.000000,1966.000000
RIZ8 [SPBFUT],5,20180823,104500,105550.000000,105860.000000,105400.000000,105780.000000,4831.000000
